Region,지역,OSM,Criteria,Percentage
Seoul,서울,116214,585636,19.84%
Busan,부산,26791,352894,7.59%
Daegu,대구,13249,240513,5.51%
Incheon,인천,29180,219832,13.27%
Gwangju,광주,35661,138328,25.78%
Daejeon,대전,13139,132169,9.94%
Ulsan,울산,15420,137792,11.19%
Gyeonggi,경기,219996,1230057,17.89%
Sejong,세종,6986,35159,19.87%
Gangwon,강원,25837,428405,6.03%
Chungbuk,충북,22201,400386,5.54%
Chungnam,충남,25927,553811,4.68%
Jeonbuk,전북,48759,461109,10.57%
Jeonnam,전남,24319,657391,3.70%
Gyeongbuk,경북,26810,832707,3.22%
Gyeongnam,경남,70933,724124,9.80%
Jeju,제주,15811,183951,8.60%
sum,합계,737233,7314264,10.08%
