Region,지역,OSM,Criteria,Percentage,2024-01-01 대비 증가량
Seoul,서울,128341,579408,22.15%,2.05%p
Busan,부산,30857,348634,8.85%,3.51%p
Daegu,대구,15848,256241,6.18%,2.41%p
Incheon,인천,30389,221783,13.70%,1.51%p
Gwangju,광주,41784,136197,30.68%,1.92%p
Daejeon,대전,13730,131054,10.48%,1.87%p
Ulsan,울산,16879,137107,12.31%,2.5%p
Gyeonggi,경기,281983,1265969,22.27%,4.11%p
Sejong,세종,9282,35383,26.23%,16.01%p
Gangwon,강원,28846,437539,6.59%,-2.23%p
Chungbuk,충북,24504,407286,6.02%,4.62%p
Chungnam,충남,28947,564466,5.13%,7.58%p
Jeonbuk,전북,55763,463883,12.02%,2.14%p
Jeonnam,전남,46415,664511,6.98%,10.41%p
Gyeongbuk,경북,29097,824988,3.53%,2.13%p
Gyeongnam,경남,73603,727299,10.12%,0.77%p
Jeju,제주,16038,189336,8.47%,0.93%p
sum,합계,872306,7391084,11.80%,3.27%p
