Region,지역,OSM,Criteria,Percentage,2023-10-22 대비 증가량
"Nowon-gu, Seoul",서울 노원구,2888,12863,22.45%,0.23%p
"Gangseo-gu, Seoul",서울 강서구,7612,24919,30.55%,0.00%p
"Gangnam-gu, Seoul",서울 강남구,9741,23366,41.69%,0.11%p
"Dalseo-gu, Daegu",대구 달서구,1762,35431,4.97%,0.01%p
"Namdong-gu, Incheon",인천 남동구,5091,26619,19.13%,0.00%p
"Seo-gu, Incheon",인천 서구,2521,33228,7.59%,0.02%p
"Suwon-si, Gyeonggi",경기 수원시,35842,59494,60.24%,9.09%p
"Seongnam-si, Gyeonggi",경기 성남시,30455,51139,59.55%,0.39%p
"Anyang-si, Gyeonggi",경기 안양시,3630,21750,16.69%,0.02%p
"Bucheon-si, Gyeonggi",경기 부천시,7122,41171,17.30%,0.00%p
"Pyeongteak-si, Gyeonggi",경기 평택시,13553,77107,17.58%,0.02%p
"Ansan-si, Gyeonggi",경기 안산시,25607,41566,61.61%,-0.01%p
"Goyang-si, Gyeonggi",경기 고양시,22138,62791,35.26%,3.46%p
"Namyangju-si, Gyeonggi",경기 남양주시,15680,58287,26.90%,0.25%p
"Siheung-si, Gyeonggi",경기 시흥시,10585,29871,35.44%,1.75%p
"Yongin-si, Gyeonggi",경기 용인시,13239,73147,18.10%,0.04%p
"Hwaseong-si, Gyeonggi",경기 화성시,6994,108776,6.43%,0.12%p
"Cheongju-si, Chungbuk",충북 청주시,12878,116257,11.08%,0.24%p
"Cheonan-si, Chungnam",충남 천안시,8807,76708,11.48%,0.14%p
"Jeonju-si, Jeonbuk",전북 전주시,24039,69461,34.61%,0.89%p
"Pohang-si, Gyeongbuk",경북 포항시,3285,89867,3.66%,0.00%p
"Changwon-si, Gyeongnam",경남 창원시,6561,122534,5.35%,0.09%p
"Gimhae-si, Gyeongnam",경남 김해시,2830,60852,4.65%,0.09%p
