Region,지역,하위 지역,OSM (ha),Criteria (ha),Percentage
Busan,부산,기장군외,4027,3899,103.28%
Gyeonggi,경기,부천시,471,480,98.15%
Busan,부산,평균,4033,5042,80.00%
Gangwon,강원,고성군,3218,4119,78.13%
Incheon,인천,강화군,9845,13516,72.84%
Gyeonggi,경기,평택시,11625,16327,71.20%
Gyeonggi,경기,수원시,793,1179,67.24%
Gyeongnam,경남,거제시,2467,3684,66.95%
Gangwon,강원,철원군,7883,12223,64.49%
Incheon,인천,평균,10850,17620,61.58%
Jeonnam,전남,보성군,8191,13507,60.65%
Seoul,서울,평균,364,619,58.77%
Daegu,대구,달성군,2791,4750,58.77%
Gyeongnam,경남,김해시,4289,7302,58.74%
Gangwon,강원,속초시,316,552,57.17%
Jeonbuk,전북,부안군,10169,17844,56.99%
Gwangju,광주,광산구외,2215,4006,55.29%
Gyeongnam,경남,밀양시,6851,12717,53.87%
Jeonbuk,전북,군산시,7264,13859,52.41%
Daegu,대구,평균,3662,7038,52.03%
Gangwon,강원,양양군,1396,2937,47.53%
Gwangju,광주,평균,4362,9368,46.57%
Gyeonggi,경기,김포시,2935,6547,44.83%
Jeonbuk,전북,김제시,11634,26567,43.79%
Jeonbuk,전북,익산시,9551,22725,42.03%
Gyeongnam,경남,함안군,3718,8886,41.84%
Gangwon,강원,강릉시,2825,7019,40.24%
Gwangju,광주,광산구,2147,5362,40.04%
Gangwon,강원,양구군,1860,4658,39.93%
Chungnam,충남,당진시,10995,27740,39.64%
Gyeongbuk,경북,구미시,4157,10686,38.90%
Gyeongnam,경남,창녕군,3920,10194,38.45%
Daegu,대구,달성군외,870,2288,38.04%
Gyeongnam,경남,창원시,3385,8993,37.64%
Chungnam,충남,서산시,10145,27605,36.75%
Chungnam,충남,논산시,6581,18337,35.89%
Jeonnam,전남,해남군,12503,35618,35.10%
Chungnam,충남,예산군,5823,17633,33.02%
Chungnam,충남,부여군,5345,16356,32.68%
Gyeongnam,경남,산청군,2198,6833,32.17%
Gyeongnam,경남,합천군,3270,10639,30.74%
Gyeonggi,경기,화성시,5914,19614,30.15%
Jeonnam,전남,고흥군,6182,20513,30.14%
Gyeongnam,경남,평균,41077,138185,29.73%
Jeonnam,전남,영광군,4717,16156,29.19%
Gyeonggi,경기,시흥시,591,2040,28.96%
Gyeongnam,경남,진주시,3549,12334,28.77%
Gyeongbuk,경북,김천시,4133,14491,28.52%
Chungnam,충남,아산시,4324,15575,27.76%
Gyeongnam,경남,의령군,1512,5573,27.12%
Chungbuk,충북,청주시,4631,17097,27.09%
Gyeongbuk,경북,경산시,2272,8512,26.69%
Chungnam,충남,평균,57830,217425,26.60%
Jeonnam,전남,영암군,5700,22818,24.98%
Jeonnam,전남,장흥군,2720,10997,24.73%
Incheon,인천,강화군외,1005,4104,24.48%
Gyeongbuk,경북,고령군,1276,5302,24.07%
Jeonbuk,전북,평균,46104,191601,24.06%
Chungbuk,충북,보은군,2079,8819,23.58%
Gyeonggi,경기,평균,35862,152353,23.54%
Jeonbuk,전북,전주시,1134,4908,23.11%
Jeonnam,전남,신안군,4133,17921,23.06%
Gyeongnam,경남,하동군,1973,8656,22.80%
Jeonnam,전남,평균,61815,281077,21.99%
Chungnam,충남,서천군,2666,12576,21.20%
Jeonnam,전남,여수시,1280,6073,21.08%
Average,전국,평균,326100,1546718,21.08%
Chungnam,충남,천안시,2720,13049,20.84%
Gyeonggi,경기,양주시,710,3456,20.56%
Gyeonggi,경기,안성시,2774,13531,20.50%
Gyeonggi,경기,오산시,95,483,19.58%
Jeonbuk,전북,정읍시,4197,21455,19.56%
Gyeonggi,경기,성남시,72,370,19.50%
Gangwon,강원,평균,19796,102128,19.38%
Chungnam,충남,태안군,2937,15181,19.35%
Chungnam,충남,보령시,2390,12602,18.97%
Gyeonggi,경기,광명시,65,356,18.30%
Gyeongnam,경남,고성군,1604,8780,18.27%
Gyeonggi,경기,파주시,2082,11400,18.26%
Jeonnam,전남,구례군,825,4723,17.46%
Chungnam,충남,홍성군,2216,13558,16.34%
Gyeonggi,경기,의정부시,37,227,16.17%
Jeonnam,전남,순천시,1901,12000,15.84%
Gyeongbuk,경북,의성군,3069,19538,15.71%
Jeonnam,전남,곡성군,1169,7574,15.44%
Gyeonggi,경기,이천시,2368,15475,15.30%
Gangwon,강원,원주시,1183,7799,15.17%
Sejong,세종,평균,1089,7358,14.81%
Gyeongnam,경남,양산시,318,2159,14.73%
Jeonnam,전남,장성군,1417,9901,14.31%
Gyeongbuk,경북,울릉군,73,514,14.18%
Gyeonggi,경기,여주시,2012,14562,13.81%
Jeonnam,전남,무안군,2650,19270,13.75%
Jeonnam,전남,나주시,2834,21035,13.47%
Gyeonggi,경기,고양시,478,3562,13.41%
Chungbuk,충북,증평군,238,1798,13.26%
Jeonnam,전남,완도군,671,5175,12.97%
Gyeonggi,경기,연천군,973,7556,12.88%
Jeonnam,전남,화순군,1112,8751,12.71%
Gyeongbuk,경북,경주시,2238,18363,12.19%
Gyeongnam,경남,함양군,848,7020,12.08%
Gyeongbuk,경북,상주시,2932,24427,12.00%
Gyeongbuk,경북,성주군,949,8211,11.55%
Jeonnam,전남,강진군,1390,12033,11.55%
Gyeongbuk,경북,평균,28129,249273,11.28%
Gyeongbuk,경북,칠곡군,575,5119,11.23%
Gyeongbuk,경북,안동시,1975,18473,10.69%
Chungbuk,충북,평균,10091,98041,10.29%
Gyeonggi,경기,안산시,246,2486,9.88%
Jeonnam,전남,함평군,1160,12006,9.66%
Gyeongbuk,경북,예천군,1580,16721,9.45%
