일시,청구 가격(달러),청구 가격(원화),환율(￦/＄),실질 가격(달러),실질 가격(원화),환율(￦/＄)
2021년,,,,,,
6월,0.00,0,-,0.00,0,-
7월,0.00,0,-,0.00,0,-
8월,0.00,0,-,0.00,0,-
9월,0.71,833,"1,173.24",0.71,833,"1,173.24"
10월,11.88,"14,068","1,184.18",11.88,"14,068","1,184.18"
11월,24.39,"29,130","1,194.34",24.39,"29,130","1,194.34"
12월,134.31,"159,396","1,186.78",17.34,"20,635.00","1,190.02"
소계,171.29,"203,427","1,187.62",54.32,"64,666","1,190.46"
,,,,,,
2022년,,,,,,
1월,5.25,"6,278","1,195.81",15.88,"18,893.00","1,189.74"
2월,5.25,"6,342","1,208.00",15.88,"18,957.00","1,193.77"
3월,5.25,"6,356","1,210.67",15.88,"18,971.00","1,194.65"
4월,5.26,"6,486","1,233.08",15.89,"19,101.00","1,202.08"
5월,5.26,"6,561","1,247.34",15.89,"19,176.00","1,206.80"
6월,5.26,"6,736","1,280.61",15.89,"19,351.00","1,217.81"
7월,8.33,"10,753","1,290.88",18.96,"23,368.00","1,232.49"
8월,8.34,"11,014","1,320.62",18.97,"23,629.00","1,245.60"
9월,8.34,"11,118","1,333.09",18.97,"23,733.00","1,251.08"
10월,8.34,"11,757","1,409.71",18.97,"24,372.00","1,284.77"
11월,20.05,"28,894","1,441.10",30.68,"41,509.00","1,352.97"
12월,40.43,"55,459","1,371.73",40.43,"55,459.00","1,371.73"
소계,125.36,"167,754","1,338.18",242.29,"306,519","1,265.09"
,,,,,,
2023년,,,,,,
1월,22.35,"29,188","1,305.95",22.35,"29,188","1,305.95"
2월,17.19,"21,599","1,256.49",17.19,"21,599","1,256.49"
3월,15.96,"20,580","1,289.47",15.96,"20,580","1,289.47"
4월,16.95,"22,355","1,318.88",16.95,"22,355","1,318.88"
5월,15.60,"20,832","1,335.38",15.60,"20,832","1,335.38"
6월,15.75,"21,120","1,340.95",15.75,"21,120","1,340.95"
7월,15.49,"20,286","1,309.62",15.49,"20,286","1,309.62"
8월,15.82,"20,503","1,296.02",15.82,"20,503","1,296.02"
9월,53.66,"73,033","1,361.03",53.66,"73,033","1,361.03"
10월,15.39 + vultr,"20,745",?,15.39 + vultr,"20,745",?
11월,5.31 + vultr,?,?,5.31 + vultr,?,?
12월,-,-,-,-,-,-
소계,188.77,"249,496","1,321.69",188.77,"249,496","1,321.69"
합계,485.42,"620,677","1,278.64",,,
